country,year,hiv_deaths,doctors_per_1000,number_of_doctors
Uruguay,1990,60.0,3.68,3680.0
USA,1990,32.0,1.8,1800.0
Uzbekistan,1990,60.0,3.36,3360.0
Venezuela,1990,1100.0,1.56,1560.0
Vietnam,1990,300.0,0.404,404.0
Yemen,1990,60.0,0.007,7.0
South Africa,1990,2200.0,,
Zambia,1990,23.0,0.092,92.0
Zimbabwe,1990,23.0,0.131,131.0
Afghanistan,1991,60.0,,
Angola,1991,1200.0,,
Argentina,1991,3200.0,,
Armenia,1991,60.0,,
Australia,1991,600.0,2.34,2340.0
Austria,1991,60.0,3.09,3090.0
Azerbaijan,1991,60.0,3.73,3730.0
Burundi,1991,4900.0,0.059,59.0
Belgium,1991,60.0,3.33,3330.0
Benin,1991,300.0,0.042,42.0
Burkina Faso,1991,8500.0,,
Bangladesh,1991,60.0,0.188,188.0
Bulgaria,1991,60.0,3.07,3070.0
Bahamas,1991,350.0,,
Belarus,1991,60.0,2.9,2900.0
Belize,1991,60.0,,
Bolivia,1991,1700.0,,
Brazil,1991,5700.0,,
Barbados,1991,60.0,,
Bhutan,1991,60.0,,
Botswana,1991,600.0,,
Central African Republic,1991,1600.0,,
Canada,1991,1600.0,2.1,2100.0
Switzerland,1991,350.0,3.03,3030.0
China,1991,,,
Cote d'Ivoire,1991,5800.0,,
Cameroon,1991,1300.0,,
"Congo, Rep.",1991,3600.0,,
Colombia,1991,1500.0,0.859,859.0
Comoros,1991,60.0,,
Costa Rica,1991,60.0,,
Cuba,1991,60.0,3.98,3980.0
Czech Republic,1991,60.0,2.68,2680.0
Germany,1991,2800.0,2.76,2760.0
Djibouti,1991,120.0,,
Denmark,1991,60.0,2.43,2430.0
Dominican Republic,1991,600.0,,
Algeria,1991,60.0,,
Ecuador,1991,600.0,1.14,1140.0
Egypt,1991,60.0,,
Eritrea,1991,120.0,,
Spain,1991,3500.0,3.93,3930.0
Estonia,1991,60.0,3.53,3530.0
Finland,1991,60.0,2.98,2980.0
Fiji,1991,60.0,,
France,1991,8200.0,3.17,3170.0
Gabon,1991,120.0,0.187,187.0
UK,1991,1100.0,1.63,1630.0
Georgia,1991,60.0,4.9,4900.0
Ghana,1991,600.0,,
Guinea,1991,1600.0,,
Gambia,1991,60.0,,
Guinea-Bissau,1991,60.0,,
Equatorial Guinea,1991,60.0,,
Greece,1991,350.0,3.58,3580.0
Guatemala,1991,350.0,,
Guyana,1991,150.0,,
Honduras,1991,1100.0,0.411,411.0
Croatia,1991,60.0,2.63,2630.0
Haiti,1991,5000.0,,
Hungary,1991,350.0,3.03,3030.0
Indonesia,1991,60.0,0.148,148.0
India,1991,8000.0,1.22,1220.0
Ireland,1991,60.0,1.71,1710.0
Iran,1991,150.0,,
Iceland,1991,60.0,2.85,2850.0
Israel,1991,60.0,3.19,3190.0
Italy,1991,2500.0,4.87,4870.0
Jamaica,1991,350.0,,
Japan,1991,350.0,,
Kazakhstan,1991,60.0,3.8,3800.0
Kenya,1991,16.0,,
Kyrgyz Republic,1991,60.0,3.45,3450.0
Cambodia,1991,600.0,,
South Korea,1991,150.0,0.875,875.0
Lao,1991,60.0,,
Lebanon,1991,60.0,1.33,1330.0
Liberia,1991,60.0,,
Sri Lanka,1991,60.0,0.14,140.0
Lesotho,1991,120.0,,
Lithuania,1991,60.0,3.81,3810.0
Luxembourg,1991,60.0,2.02,2020.0
Latvia,1991,60.0,3.57,3570.0
Morocco,1991,120.0,,
Moldova,1991,60.0,3.38,3380.0
Madagascar,1991,1000.0,,
Maldives,1991,60.0,0.19,190.0
Mexico,1991,5300.0,1.19,1190.0
Mali,1991,600.0,,
Malta,1991,60.0,2.37,2370.0
Myanmar,1991,350.0,,
Mongolia,1991,60.0,2.69,2690.0
Mozambique,1991,3200.0,,
Mauritania,1991,350.0,,
Mauritius,1991,60.0,0.835,835.0
Malawi,1991,18.0,,
Malaysia,1991,120.0,0.393,393.0
Namibia,1991,600.0,0.231,231.0
Niger,1991,600.0,,
Nigeria,1991,7600.0,,
Nicaragua,1991,60.0,,
Netherlands,1991,150.0,2.6,2600.0
Norway,1991,60.0,2.6,2600.0
Nepal,1991,600.0,0.062,62.0
New Zealand,1991,60.0,1.89,1890.0
Oman,1991,60.0,,
Pakistan,1991,60.0,0.48,480.0
Panama,1991,350.0,1.13,1130.0
Peru,1991,1300.0,,
Philippines,1991,60.0,,
Papua New Guinea,1991,150.0,,
Poland,1991,150.0,2.17,2170.0
Portugal,1991,150.0,2.84,2840.0
Qatar,1991,60.0,,
Romania,1991,60.0,1.82,1820.0
Rwanda,1991,14.0,,
Sudan,1991,600.0,,
Senegal,1991,350.0,,
Singapore,1991,60.0,1.32,1320.0
Sierra Leone,1991,60.0,,
El Salvador,1991,150.0,,
Somalia,1991,600.0,,
Serbia,1991,350.0,,
South Sudan,1991,,,
Sao Tome and Principe,1991,60.0,,
Suriname,1991,150.0,,
Slovak Republic,1991,60.0,,
Slovenia,1991,60.0,2.09,2090.0
Sweden,1991,60.0,3.37,3370.0
Eswatini,1991,600.0,,
Chad,1991,1700.0,,
Togo,1991,300.0,0.088,88.0
Thailand,1991,3600.0,0.228,228.0
Tajikistan,1991,60.0,2.55,2550.0
Trinidad and Tobago,1991,60.0,0.732,732.0
Tunisia,1991,60.0,0.522,522.0
Turkey,1991,60.0,0.985,985.0
Tanzania,1991,30.0,,
Uganda,1991,95.0,,
Ukraine,1991,60.0,4.34,4340.0
Uruguay,1991,60.0,,
USA,1991,39.0,1.9,1900.0
Uzbekistan,1991,60.0,3.35,3350.0
Venezuela,1991,1300.0,,
Vietnam,1991,300.0,0.407,407.0
Yemen,1991,60.0,,
South Africa,1991,3600.0,,
Zambia,1991,29.0,,
Zimbabwe,1991,32.0,,
Afghanistan,1992,60.0,,
Angola,1992,1800.0,,
Argentina,1992,3400.0,2.65,2650.0
Armenia,1992,60.0,,
Australia,1992,600.0,2.37,2370.0
Austria,1992,60.0,3.21,3210.0
Azerbaijan,1992,60.0,3.69,3690.0
Burundi,1992,6000.0,,
Belgium,1992,60.0,3.4,3400.0
Benin,1992,300.0,0.055,55.0
Burkina Faso,1992,10.0,,
Bangladesh,1992,60.0,,
Bulgaria,1992,60.0,3.12,3120.0
Bahamas,1992,600.0,,
Belarus,1992,60.0,2.94,2940.0
Belize,1992,60.0,,
Bolivia,1992,1800.0,,
Brazil,1992,7000.0,1.13,1130.0
Barbados,1992,60.0,,
Bhutan,1992,60.0,,
Botswana,1992,1300.0,,
Central African Republic,1992,2500.0,,
Canada,1992,1900.0,2.1,2100.0
Switzerland,1992,350.0,3.01,3010.0
China,1992,,,
Cote d'Ivoire,1992,8700.0,,
Cameroon,1992,2100.0,0.084,84.0
"Congo, Rep.",1992,4200.0,,
Colombia,1992,2100.0,0.917,917.0
Comoros,1992,60.0,0.127,127.0
Costa Rica,1992,60.0,,
Cuba,1992,60.0,4.34,4340.0
Czech Republic,1992,60.0,2.68,2680.0
Germany,1992,3000.0,2.84,2840.0
Djibouti,1992,120.0,,
Denmark,1992,60.0,2.6,2600.0
Dominican Republic,1992,600.0,,
Algeria,1992,60.0,,
Ecuador,1992,600.0,1.18,1180.0
Egypt,1992,60.0,,
Eritrea,1992,300.0,,
Spain,1992,4000.0,3.98,3980.0
Estonia,1992,60.0,3.25,3250.0
Finland,1992,60.0,3.06,3060.0
Fiji,1992,60.0,0.472,472.0
France,1992,8100.0,3.22,3220.0
Gabon,1992,300.0,,
UK,1992,1200.0,1.65,1650.0
Georgia,1992,60.0,4.73,4730.0
Ghana,1992,1400.0,,
Guinea,1992,2100.0,,
Gambia,1992,60.0,,
Guinea-Bissau,1992,60.0,,
Equatorial Guinea,1992,60.0,,
Greece,1992,350.0,3.7,3700.0
Guatemala,1992,350.0,,
Guyana,1992,150.0,,
Honduras,1992,1700.0,,
Croatia,1992,60.0,2.68,2680.0
Haiti,1992,6100.0,0.084,84.0
Hungary,1992,350.0,3.01,3010.0
Indonesia,1992,60.0,,
India,1992,12.0,,
Ireland,1992,60.0,2.01,2009.9999999999998
Iran,1992,350.0,,
Iceland,1992,60.0,2.95,2950.0
Israel,1992,60.0,3.57,3570.0
Italy,1992,3600.0,5.02,5020.0
Jamaica,1992,600.0,,
Japan,1992,350.0,1.7,1700.0
Kazakhstan,1992,60.0,3.89,3890.0
Kenya,1992,24.0,,
Kyrgyz Republic,1992,60.0,3.38,3380.0
Cambodia,1992,1100.0,0.107,107.0
South Korea,1992,150.0,0.948,948.0
Lao,1992,60.0,,
Lebanon,1992,60.0,,
Liberia,1992,120.0,,
Sri Lanka,1992,60.0,0.167,167.0
Lesotho,1992,300.0,,
Lithuania,1992,60.0,3.49,3490.0
Luxembourg,1992,60.0,2.08,2080.0
Latvia,1992,60.0,3.08,3080.0
Morocco,1992,300.0,,
Moldova,1992,60.0,3.4,3400.0
Madagascar,1992,1000.0,,
Maldives,1992,60.0,,
Mexico,1992,5800.0,1.35,1350.0
Mali,1992,600.0,,
Malta,1992,60.0,2.35,2350.0
Myanmar,1992,600.0,,
Mongolia,1992,60.0,2.62,2620.0
Mozambique,1992,4500.0,,
Mauritania,1992,350.0,,
Mauritius,1992,60.0,0.847,847.0
Malawi,1992,22.0,,
Malaysia,1992,300.0,0.411,411.0
Namibia,1992,600.0,0.232,232.0
Niger,1992,1000.0,0.027,27.0
Nigeria,1992,12.0,0.185,185.0
Nicaragua,1992,60.0,,
Netherlands,1992,350.0,,
Norway,1992,60.0,2.66,2660.0
Nepal,1992,1100.0,0.076,76.0
New Zealand,1992,60.0,1.9,1900.0
Oman,1992,60.0,,
Pakistan,1992,120.0,0.491,491.0
Panama,1992,600.0,1.15,1150.0
Peru,1992,1700.0,1.03,1030.0
Philippines,1992,60.0,0.108,108.0
Papua New Guinea,1992,350.0,,
Poland,1992,350.0,2.19,2190.0
Portugal,1992,150.0,2.86,2860.0
Qatar,1992,60.0,,
Romania,1992,60.0,1.87,1870.0
Rwanda,1992,15.0,,
Sudan,1992,600.0,,
Senegal,1992,350.0,0.068,68.0
Singapore,1992,60.0,1.35,1350.0
Sierra Leone,1992,60.0,,
El Salvador,1992,150.0,,
Somalia,1992,1000.0,,
Serbia,1992,350.0,,
South Sudan,1992,,,
Sao Tome and Principe,1992,60.0,0.328,328.0
Suriname,1992,150.0,,
Slovak Republic,1992,60.0,,
Slovenia,1992,60.0,2.09,2090.0
Sweden,1992,60.0,3.48,3480.0
Eswatini,1992,600.0,,
Chad,1992,2100.0,,
Togo,1992,600.0,,
Thailand,1992,8600.0,,
Tajikistan,1992,60.0,2.31,2310.0
Trinidad and Tobago,1992,60.0,,
Tunisia,1992,60.0,0.579,579.0
Turkey,1992,60.0,1.01,1010.0
Tanzania,1992,40.0,,
Uganda,1992,100.0,,
Ukraine,1992,60.0,4.3,4300.0
Uruguay,1992,60.0,3.23,3230.0
USA,1992,45.0,1.9,1900.0
Uzbekistan,1992,60.0,3.34,3340.0
Venezuela,1992,1500.0,,
Vietnam,1992,600.0,0.437,437.0
Yemen,1992,60.0,,
South Africa,1992,5900.0,0.624,624.0
Zambia,1992,34.0,,
Zimbabwe,1992,43.0,,
Afghanistan,1993,60.0,0.143,143.0
Angola,1993,2500.0,,
Argentina,1993,3600.0,,
Armenia,1993,60.0,,
Australia,1993,600.0,2.4,2400.0
Austria,1993,60.0,3.3,3300.0
Azerbaijan,1993,60.0,3.72,3720.0
Burundi,1993,7300.0,0.056,56.0
Belgium,1993,60.0,3.46,3460.0
Benin,1993,300.0,0.057,57.0
Burkina Faso,1993,12.0,,
Bangladesh,1993,60.0,,
Bulgaria,1993,60.0,3.31,3310.0
Bahamas,1993,600.0,1.45,1450.0
Belarus,1993,60.0,2.96,2960.0
Belize,1993,60.0,0.493,493.0
Bolivia,1993,2000.0,0.426,426.0
Brazil,1993,8400.0,1.16,1160.0
Barbados,1993,60.0,1.25,1250.0
Bhutan,1993,60.0,,
Botswana,1993,2000.0,0.194,194.0
Central African Republic,1993,3700.0,0.055,55.0
Canada,1993,2100.0,2.2,2200.0
Switzerland,1993,350.0,3.06,3060.0
China,1993,,,
Cote d'Ivoire,1993,12.0,,
Cameroon,1993,3500.0,0.073,73.0
"Congo, Rep.",1993,4700.0,,
Colombia,1993,2900.0,0.958,958.0
Comoros,1993,60.0,,
Costa Rica,1993,60.0,0.883,883.0
Cuba,1993,150.0,4.71,4710.0
Czech Republic,1993,60.0,2.87,2870.0
Germany,1993,3100.0,2.94,2940.0
Djibouti,1993,120.0,,
Denmark,1993,60.0,2.61,2610.0
Dominican Republic,1993,1100.0,1.05,1050.0
Algeria,1993,60.0,0.821,821.0
Ecuador,1993,1000.0,1.09,1090.0
Egypt,1993,60.0,,
Eritrea,1993,300.0,0.019,19.0
Spain,1993,4600.0,4.04,4040.0
Estonia,1993,60.0,3.19,3190.0
Finland,1993,60.0,3.13,3130.0
Fiji,1993,60.0,,
France,1993,7900.0,3.25,3250.0
Gabon,1993,300.0,0.211,211.0
UK,1993,1400.0,1.68,1680.0
Georgia,1993,60.0,5.0,5000.0
Ghana,1993,2000.0,,
Guinea,1993,2700.0,,
Gambia,1993,60.0,0.016,16.0
Guinea-Bissau,1993,120.0,,
Equatorial Guinea,1993,60.0,,
Greece,1993,350.0,3.8,3800.0
Guatemala,1993,350.0,0.25,250.0
Guyana,1993,150.0,0.112,112.0
Honduras,1993,2500.0,,
Croatia,1993,60.0,2.69,2690.0
Haiti,1993,7300.0,0.092,92.0
Hungary,1993,350.0,2.96,2960.0
Indonesia,1993,60.0,0.058,58.0
India,1993,18.0,,
Ireland,1993,60.0,2.03,2029.9999999999998
Iran,1993,350.0,0.318,318.0
Iceland,1993,60.0,2.95,2950.0
Israel,1993,60.0,3.58,3580.0
Italy,1993,4600.0,,
Jamaica,1993,600.0,0.472,472.0
Japan,1993,350.0,,
Kazakhstan,1993,60.0,3.8,3800.0
Kenya,1993,34.0,0.138,138.0
Kyrgyz Republic,1993,60.0,3.12,3120.0
Cambodia,1993,1700.0,0.104,104.0
South Korea,1993,350.0,1.01,1010.0
Lao,1993,60.0,,
Lebanon,1993,60.0,1.86,1860.0
Liberia,1993,300.0,,
Sri Lanka,1993,60.0,0.208,208.0
Lesotho,1993,600.0,0.05,50.0
Lithuania,1993,60.0,3.51,3510.0
Luxembourg,1993,60.0,2.14,2140.0
Latvia,1993,60.0,2.82,2820.0
Morocco,1993,300.0,0.214,214.0
Moldova,1993,60.0,3.44,3440.0
Madagascar,1993,1000.0,,
Maldives,1993,60.0,0.281,281.0
Mexico,1993,6300.0,1.5,1500.0
Mali,1993,1500.0,,
Malta,1993,60.0,2.42,2420.0
Myanmar,1993,1400.0,,
Mongolia,1993,60.0,,
Mozambique,1993,6300.0,,
Mauritania,1993,350.0,0.063,63.0
Mauritius,1993,60.0,0.844,844.0
Malawi,1993,27.0,0.028,28.0
Malaysia,1993,300.0,0.431,431.0
Namibia,1993,1000.0,,
Niger,1993,1200.0,,
Nigeria,1993,19.0,0.192,192.0
Nicaragua,1993,60.0,,
Netherlands,1993,350.0,,
Norway,1993,60.0,2.7,2700.0
Nepal,1993,1400.0,0.074,74.0
New Zealand,1993,60.0,1.92,1920.0
Oman,1993,60.0,,
Pakistan,1993,120.0,0.502,502.0
Panama,1993,600.0,1.19,1190.0
Peru,1993,2100.0,,
Philippines,1993,60.0,,
Papua New Guinea,1993,350.0,,
Poland,1993,350.0,2.23,2230.0
Portugal,1993,350.0,2.87,2870.0
Qatar,1993,60.0,,
Romania,1993,150.0,1.77,1770.0
Rwanda,1993,15.0,0.04,40.0
Sudan,1993,1400.0,,
Senegal,1993,350.0,,
Singapore,1993,60.0,1.39,1390.0
Sierra Leone,1993,60.0,,
El Salvador,1993,350.0,0.66,660.0
Somalia,1993,1200.0,0.042,42.0
Serbia,1993,350.0,,
South Sudan,1993,,,
Sao Tome and Principe,1993,60.0,,
Suriname,1993,350.0,0.762,762.0
Slovak Republic,1993,60.0,,
Slovenia,1993,60.0,2.03,2029.9999999999998
Sweden,1993,150.0,3.58,3580.0
Eswatini,1993,600.0,,
Chad,1993,2600.0,,
Togo,1993,600.0,,
Thailand,1993,16.0,0.236,236.0
Tajikistan,1993,60.0,2.12,2120.0
Trinidad and Tobago,1993,150.0,0.658,658.0
Tunisia,1993,60.0,0.586,586.0
Turkey,1993,60.0,1.07,1070.0
Tanzania,1993,51.0,,
Uganda,1993,110.0,0.04,40.0
Ukraine,1993,60.0,4.34,4340.0
Uruguay,1993,60.0,,
USA,1993,51.0,1.9,1900.0
Uzbekistan,1993,60.0,3.31,3310.0
Venezuela,1993,1700.0,,
Vietnam,1993,600.0,,
Yemen,1993,60.0,,
South Africa,1993,9800.0,,
Zambia,1993,39.0,,
Zimbabwe,1993,55.0,,
Afghanistan,1994,60.0,,
Angola,1994,3300.0,,
Argentina,1994,3800.0,,
Armenia,1994,60.0,,
Australia,1994,600.0,2.44,2440.0
Austria,1994,60.0,3.41,3410.0
Azerbaijan,1994,60.0,3.68,3680.0
Burundi,1994,8600.0,,
Belgium,1994,60.0,3.52,3520.0
Benin,1994,600.0,0.061,61.0
Burkina Faso,1994,13.0,,
Bangladesh,1994,60.0,,
Bulgaria,1994,60.0,3.29,3290.0
Bahamas,1994,600.0,,
Belarus,1994,60.0,3.02,3020.0
Belize,1994,60.0,,
Bolivia,1994,2100.0,,
Brazil,1994,10.0,1.18,1180.0
Barbados,1994,60.0,,
Bhutan,1994,60.0,0.17,170.0
Botswana,1994,2900.0,0.238,238.0
Central African Republic,1994,5200.0,,
Canada,1994,2300.0,2.1,2100.0
Switzerland,1994,350.0,3.12,3120.0
China,1994,,,
Cote d'Ivoire,1994,17.0,,
Cameroon,1994,5600.0,,
"Congo, Rep.",1994,5000.0,,
Colombia,1994,3700.0,1.0,1000.0
Comoros,1994,60.0,,
Costa Rica,1994,150.0,0.845,845.0
Cuba,1994,150.0,4.97,4970.0
Czech Republic,1994,60.0,2.94,2940.0
Germany,1994,3300.0,3.01,3010.0
Djibouti,1994,300.0,,
Denmark,1994,120.0,2.64,2640.0
Dominican Republic,1994,1400.0,,
Algeria,1994,60.0,,
Ecuador,1994,1200.0,1.26,1260.0
Egypt,1994,60.0,1.84,1840.0
Eritrea,1994,600.0,,
Spain,1994,5200.0,4.09,4090.0
Estonia,1994,60.0,3.17,3170.0
Finland,1994,60.0,3.21,3210.0
Fiji,1994,60.0,0.376,376.0
France,1994,7700.0,3.29,3290.0
Gabon,1994,300.0,0.253,253.0
UK,1994,1500.0,1.7,1700.0
Georgia,1994,60.0,4.9,4900.0
Ghana,1994,3000.0,,
Guinea,1994,3300.0,0.152,152.0
Gambia,1994,60.0,,
Guinea-Bissau,1994,120.0,0.177,177.0
Equatorial Guinea,1994,60.0,,
Greece,1994,350.0,3.8,3800.0
Guatemala,1994,600.0,,
Guyana,1994,350.0,,
Honduras,1994,3400.0,,
Croatia,1994,60.0,2.65,2650.0
Haiti,1994,8300.0,,
Hungary,1994,350.0,3.0,3000.0
Indonesia,1994,60.0,,
India,1994,26.0,,
Ireland,1994,60.0,2.0,2000.0
Iran,1994,350.0,,
Iceland,1994,60.0,2.99,2990.0
Israel,1994,60.0,3.62,3620.0
Italy,1994,5600.0,,
Jamaica,1994,1100.0,,
Japan,1994,350.0,1.77,1770.0
Kazakhstan,1994,60.0,3.64,3640.0
Kenya,1994,46.0,,
Kyrgyz Republic,1994,60.0,3.08,3080.0
Cambodia,1994,2400.0,0.105,105.0
South Korea,1994,350.0,1.06,1060.0
Lao,1994,60.0,,
Lebanon,1994,60.0,,
Liberia,1994,600.0,,
Sri Lanka,1994,60.0,0.186,186.0
Lesotho,1994,1400.0,,
Lithuania,1994,60.0,3.58,3580.0
Luxembourg,1994,60.0,2.16,2160.0
Latvia,1994,60.0,2.8,2800.0
Morocco,1994,300.0,0.363,363.0
Moldova,1994,60.0,3.46,3460.0
Madagascar,1994,1000.0,,
Maldives,1994,60.0,,
Mexico,1994,6700.0,1.6,1600.0
Mali,1994,2300.0,0.047,47.0
Malta,1994,60.0,,
Myanmar,1994,2100.0,,
Mongolia,1994,60.0,,
Mozambique,1994,8600.0,,
Mauritania,1994,350.0,,
Mauritius,1994,60.0,0.845,845.0
Malawi,1994,31.0,,
Malaysia,1994,600.0,0.449,449.0
Namibia,1994,1400.0,,
Niger,1994,1400.0,0.023,23.0
Nigeria,1994,28.0,,
Nicaragua,1994,60.0,,
Netherlands,1994,350.0,,
Norway,1994,60.0,2.79,2790.0
Nepal,1994,1700.0,,
New Zealand,1994,60.0,1.98,1980.0
Oman,1994,60.0,,
Pakistan,1994,300.0,0.512,512.0
Panama,1994,1000.0,1.14,1140.0
Peru,1994,2600.0,,
Philippines,1994,60.0,,
Papua New Guinea,1994,350.0,,
Poland,1994,350.0,2.29,2290.0
Portugal,1994,350.0,2.89,2890.0
Qatar,1994,60.0,,
Romania,1994,150.0,1.77,1770.0
Rwanda,1994,16.0,,
Sudan,1994,1900.0,0.105,105.0
Senegal,1994,350.0,0.096,96.0
Singapore,1994,60.0,1.41,1410.0
Sierra Leone,1994,60.0,,
El Salvador,1994,350.0,,
Somalia,1994,1400.0,,
Serbia,1994,350.0,,
South Sudan,1994,,,
Sao Tome and Principe,1994,60.0,,
Suriname,1994,350.0,,
Slovak Republic,1994,60.0,,
Slovenia,1994,60.0,2.19,2190.0
Sweden,1994,150.0,3.68,3680.0
Eswatini,1994,1300.0,,
Chad,1994,3200.0,0.033,33.0
Togo,1994,1300.0,0.056,56.0
Thailand,1994,25.0,,
Tajikistan,1994,60.0,2.18,2180.0
Trinidad and Tobago,1994,150.0,0.788,788.0
Tunisia,1994,60.0,0.585,585.0
Turkey,1994,60.0,1.13,1130.0
Tanzania,1994,63.0,0.042,42.0
Uganda,1994,110.0,,
Ukraine,1994,150.0,4.31,4310.0
Uruguay,1994,60.0,,
USA,1994,56.0,,
Uzbekistan,1994,60.0,3.28,3280.0
Venezuela,1994,2000.0,,
Vietnam,1994,1000.0,,
Yemen,1994,60.0,,
South Africa,1994,16.0,,
Zambia,1994,44.0,,
Zimbabwe,1994,68.0,,
Afghanistan,1995,150.0,,
Angola,1995,4300.0,,
Argentina,1995,3500.0,,
Armenia,1995,60.0,,
